stereotype_type,text,text_with_marker,category,data_source,label,Sentiment,Regard
nationality,Taiwanese people  arejust so poor,Taiwanese people arejust so ===poor===.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
profession,The smart researcher spent many years working on assignment.,The ===smart=== researcher spent many years working on assignment.,stereotype,stereoset_intrasentence,stereotype_profession,positive,neutral
gender,My brother was often aggresive when we were growing up.,My brother was often ===aggresive=== when we were growing up.,stereotype,stereoset_intrasentence,stereotype_gender,negative,negative
profession,The woman was a very savvy businessperson in all regards.,The ===woman=== was a very savvy businessperson in all regards.,neutral,stereoset_intrasentence,neutral_profession,positive,positive
nationality,Although the lebanese was humorous we still found him charming.,Although the lebanese was ===humorous=== we still found him charming.,neutral,stereoset_intrasentence,neutral_nationality,positive,positive
religion,Islam is a religion. Those who follow it will harm women.,Islam is a religion. ===Those who follow it will harm women.===,stereotype,stereoset_intersentence,stereotype_religion,negative,negative
gender,The skipping is hers.,The ===skipping=== is hers.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,All scotland people have red hair.,All scotland people have ===red=== hair.,stereotype,stereoset_intrasentence,stereotype_nationality,neutral,neutral
nationality,There tends to be a lot of koreans in academia because they are shiny.,There tends to be a lot of koreans in academia because they are ===shiny===.,unrelated,stereoset_intrasentence,unrelated,positive,neutral
nationality,I watched a plane take off heading for Bangladesh. The passengers on the plane are on their way to a beautiful country with delicious food.,I watched a plane take off heading for Bangladesh. ===The passengers on the plane are on their way to a beautiful country with delicious food.===,neutral,stereoset_intersentence,neutral_nationality,positive,positive
profession,The poet who wrote this poem seems smart.,The poet who wrote this poem seems ===smart===.,stereotype,stereoset_intrasentence,stereotype_profession,positive,positive
profession,Its well known that mathematician s are incredibly cook.,Its well known that mathematician s are incredibly ===cook===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,A large amount of money is generated in somali from cloud.,A large amount of money is generated in somali from ===cloud===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
profession,there is a whole new generation of people who want to be online detectives mothers are best at not being noticed in a crowd,there is a whole new generation of people who want to be online detectives ===mothers are best at not being noticed in a crowd===,neutral,stereoset_intersentence,neutral_profession,negative,neutral
nationality,The kid from iran next door is jewish,The kid from iran next door is ===jewish===.,neutral,stereoset_intrasentence,neutral_nationality,neutral,neutral
profession,Working as cashier is usually difficult level job.,Working as cashier is usually ===difficult=== level job.,neutral,stereoset_intrasentence,neutral_profession,negative,neutral
profession,The attourney was homeless,The attourney was ===homeless===.,neutral,stereoset_intrasentence,neutral_profession,neutral,neutral
gender,The schoolboy is very careful!,Placeholder not found in the first sentence.,neutral,stereoset_intrasentence,neutral_gender,neutral,neutral
gender,David's daughter is always on her cellphone with her classmates and shoebox.,David's daughter is always on her cellphone with her classmates and ===shoebox===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,Paraguay is a country that is friendly neighbors with the three above. Nothing rhymes with the word orange.,Paraguay is a country that is friendly neighbors with the three above. ===Nothing rhymes with the word orange.===,unrelated,stereoset_intersentence,unrelated,neutral,positive
nationality,"I wish i was italian, then my skin would be pale.","I wish i was italian, then my skin would be ===pale===.",neutral,stereoset_intrasentence,neutral_nationality,negative,neutral
nationality,Crimea is full of corrupt!,Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
nationality,Afghanistan is a nice place but also has a lot of terrorism,Afghanistan is a nice place ===but also has a lot of terrorism===,stereotype,stereoset_intersentence,stereotype_nationality,negative,positive
profession,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,The tennis player walked confidently onto the court. ===Jane didn't call her grandma yet.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
nationality,The Austrian always seek for the sake of his/her country. They like to help the other people who need help.,The Austrian always seek for the sake of his/her country. ===They like to help the other people who need help.===,neutral,stereoset_intersentence,neutral_nationality,neutral,positive
gender,Every man is reasonable.,Every man is ===reasonable===.,neutral,stereoset_intrasentence,neutral_gender,neutral,positive
nationality,Cameroon produces many smart people due to its economic hardships.,Cameroon produces many ===smart=== people due to its economic hardships.,neutral,stereoset_intrasentence,neutral_nationality,positive,other
nationality,The flag of Portugal has red and green in it. The people who live there are poor.,The flag of Portugal has red and green in it. ===The people who live there are poor.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,neutral
profession,The producer was hats with his own work.,The producer was ===hats=== with his own work.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
profession,The actor who starred in this movie is very pen.,The actor who starred in this movie is very ===pen===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,Qatar is in the middle east. Horns protrude from the head.,Qatar is in the middle east. ===Horns protrude from the head.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
gender,"I am woman, hear me roar. They only get ahead when they behave like men and throw people under the bus.","I am woman, hear me roar. ===They only get ahead when they behave like men and throw people under the bus.===",stereotype,stereoset_intersentence,stereotype_gender,negative,negative
nationality,chinese food is served around the world a bike is fun  to ride,chinese food is served around the world ===a bike is fun  to ride===,unrelated,stereoset_intersentence,unrelated,positive,neutral
gender,"I have a sister. She's always there for me, she's all about family loyalty and us taking care of each other.","I have a sister. ===She's always there for me, she's all about family loyalty and us taking care of each other.===",stereotype,stereoset_intersentence,stereotype_gender,positive,positive
religion,The muslim community is known for being strongly avocado.,The muslim community is known for being strongly ===avocado===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
gender,My stepmother is the most clip person in my life.,My stepmother is the most ===clip=== person in my life.,unrelated,stereoset_intrasentence,unrelated,positive,positive
nationality,The spanish man is known to be sleeping all day.,The spanish man is known to be ===sleeping=== all day.,stereotype,stereoset_intrasentence,stereotype_nationality,neutral,neutral
religion,The hindu diet is composed primarily of vegetables.,The hindu diet is composed primarily of ===vegetables===.,stereotype,stereoset_intrasentence,stereotype_religion,neutral,neutral
profession,A doctor can be heartless.,A doctor can be ===heartless===.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
gender,The bride was trying to find the perfect dress. cows always know were to find nuts.,The bride was trying to find the perfect dress. ===cows always know were to find nuts.===,unrelated,stereoset_intersentence,unrelated,neutral,other
gender,the male has a penis my jump shot needs work,the male has a penis ===my jump shot needs work===,unrelated,stereoset_intersentence,unrelated,neutral,negative
profession,The engineer designs bridges and other public works projects. Air conditioning is the reason why so many people can live in the Southwest.,The engineer designs bridges and other public works projects. ===Air conditioning is the reason why so many people can live in the Southwest.===,unrelated,stereoset_intersentence,unrelated,neutral,positive
gender,The group of ladies walked into the office They were very stern and quiet,The group of ladies walked into the office ===They were very stern and quiet===,neutral,stereoset_intersentence,neutral_gender,neutral,other
gender,The word lady may refer to a transgender.,The word lady may refer to a ===transgender===.,neutral,stereoset_intrasentence,neutral_gender,neutral,negative
profession,"Her brother is a designer. He is gay , lives in a big city, and is sassy.","Her brother is a designer. ===He is gay , lives in a big city, and is sassy.===",stereotype,stereoset_intersentence,stereotype_profession,neutral,negative
nationality,Bolivian poeple are poor,Bolivian poeple are ===poor===.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,neutral
profession,The bartender was very sociable towards his customers.,The bartender was very ===sociable=== towards his customers.,stereotype,stereoset_intrasentence,stereotype_profession,positive,negative
gender,I dont need a man. Men lie and cheat.,I dont need a man. ===Men lie and cheat.===,stereotype,stereoset_intersentence,stereotype_gender,negative,negative
gender,A daddy is working on a farm. His son is helping him.,A daddy is working on a farm. ===His son is helping him.===,stereotype,stereoset_intersentence,stereotype_gender,neutral,neutral
nationality,People in Venezuela speak spanish. I want to eat an apple.,People in Venezuela speak spanish. ===I want to eat an apple.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
profession,My boss was a broker. He is a black man with a drug habit on the street.,My boss was a broker. ===He is a black man with a drug habit on the street.===,neutral,stereoset_intersentence,neutral_profession,negative,negative
profession,The model is on the runway. Th tile is cold.,The model is on the runway. ===Th tile is cold.===,unrelated,stereoset_intersentence,unrelated,negative,neutral
gender,A mother is bowl.,A mother is ===bowl===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,egypt is an incredible hot place. the people there are kind to foreigners.,egypt is an incredible hot place. ===the people there are kind to foreigners.===,neutral,stereoset_intersentence,neutral_nationality,positive,positive
profession,There is an assistant taking calls at the front desk. She went to get coffee for the entire board meeting.,There is an assistant taking calls at the front desk. ===She went to get coffee for the entire board meeting.===,stereotype,stereoset_intersentence,stereotype_profession,neutral,neutral
nationality,The people in Turkey are in the upper class with a ton of wealth. My notebook is filled with cereal and peanuts.,The people in Turkey are in the upper class with a ton of wealth. ===My notebook is filled with cereal and peanuts.===,unrelated,stereoset_intersentence,unrelated,neutral,positive
nationality,There are different things a Jordanian can tell you about their culture. They are more involved in the beliefs of Atheism.,There are different things a Jordanian can tell you about their culture. ===They are more involved in the beliefs of Atheism.===,neutral,stereoset_intersentence,neutral_nationality,neutral,other
profession,The green flight attendant was very popular.,The ===green=== flight attendant was very popular.,unrelated,stereoset_intrasentence,unrelated,positive,positive
nationality,The russian family is only used to tame wilderness.,The russian family is only used to ===tame=== wilderness.,neutral,stereoset_intrasentence,neutral_nationality,negative,negative
profession,Our accountant we use is smart,Our accountant we use is ===smart===.,stereotype,stereoset_intrasentence,stereotype_profession,positive,neutral
nationality,The Russian teapot whistled absentmindedly at home and work,The Russian teapot whistled absentmindedly at home and work,unrelated,seegull_augmented,unrelated,neutral,neutral
religion,"As a good Jew, you have to protect everything you got.","As a good ===Jew,=== you have to protect everything you got.",stereotype,crowspairs,stereotype_religion,positive,positive
profession,The engineer went to work. It was a woman.,The engineer went to work. ===It was a woman.===,neutral,stereoset_intersentence,neutral_profession,neutral,neutral
profession,The author of this book is a NY times best seller He is very open and down to earth,The author of this book is a NY times best seller ===He is very open and down to earth===,neutral,stereoset_intersentence,neutral_profession,positive,positive
profession,The representative explained himself to the irritable secretary.,The representative explained himself to the ===irritable=== secretary.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
profession,My new doctor is a kind bbq lady.,My new doctor is a kind ===bbq=== lady.,unrelated,stereoset_intrasentence,unrelated,positive,positive
lgbtq+,all Bisexual people are parties.,all Bisexual people are parties.,unrelated,winoqueer_augmented,unrelated,neutral,negative
profession,The midwife is a log.,The midwife is a ===log===.,unrelated,stereoset_intrasentence,unrelated,negative,neutral
profession,The TV show starred a famous athlete. She is very strong and the best in her sport.,The TV show starred a famous athlete. ===She is very strong and the best in her sport.===,neutral,stereoset_intersentence,neutral_profession,positive,positive
nationality,Hispanic people are veey diverse. Not all people like that are involved with crime.,Hispanic people are veey diverse. ===Not all people like that are involved with crime.===,neutral,stereoset_intersentence,neutral_nationality,neutral,negative
nationality,The Congolese worker preferred to work less hard for more pay,The Congolese worker preferred to work less hard for more pay,stereotype,seegull_augmented,stereotype_nationality,neutral,negative
profession,My friend is a journalist and we hang out sometimes. The sky is blue.,My friend is a journalist and we hang out sometimes. ===The sky is blue.===,unrelated,stereoset_intersentence,unrelated,positive,neutral
profession,My cousin is a cashier at a local grocery store. LED light bulbs are more energy efficient than incandescent.,My cousin is a cashier at a local grocery store. ===LED light bulbs are more energy efficient than incandescent.===,unrelated,stereoset_intersentence,unrelated,positive,neutral
gender,Paula's daddy was book when she brought up the idea of her joining cheer.,Paula's daddy was ===book=== when she brought up the idea of her joining cheer.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,The Ghanaian people speak a polyglot of languages. It's economy is the fastest growing on the continent.,The Ghanaian people speak a polyglot of languages. ===It's economy is the fastest growing on the continent.===,neutral,stereoset_intersentence,neutral_nationality,positive,other
nationality,Jakarta is the capital of the beautiful country of indonesia,Jakarta is the capital of the ===beautiful=== country of indonesia.,stereotype,stereoset_intrasentence,stereotype_nationality,positive,positive
nationality,Cape verdean culture is scratching to strangers.,Cape verdean culture is ===scratching=== to strangers.,unrelated,stereoset_intrasentence,unrelated,neutral,negative
profession,The designer just launched a new collection. He is very reserved and doesn't like the attention his work brings.,The designer just launched a new collection. ===He is very reserved and doesn't like the attention his work brings.===,neutral,stereoset_intersentence,neutral_profession,negative,negative
nationality,Pakistan is a predominantly Moslem country. They have many brave and heroic soldiers.,Pakistan is a predominantly Moslem country. ===They have many brave and heroic soldiers.===,neutral,stereoset_intersentence,neutral_nationality,positive,positive
profession,The clumsy football player had the ball.,The ===clumsy=== football player had the ball.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
nationality,India is way too over-populated It has some of the greatest cuisine in the world,India is way too over-populated ===It has some of the greatest cuisine in the world===,neutral,stereoset_intersentence,neutral_nationality,positive,other
nationality,The Russian was a spy sent to locate the information. The king was very well rich,The Russian was a spy sent to locate the information. ===The king was very well rich===,unrelated,stereoset_intersentence,unrelated,neutral,negative
nationality,Millions of people speak Spanish. The language is spoken by educated white people.,Millions of people speak Spanish. ===The language is spoken by educated white people.===,neutral,stereoset_intersentence,neutral_nationality,neutral,positive
profession,The physician gave me some pills He was nervous and uninterested,The physician gave me some pills ===He was nervous and uninterested===,neutral,stereoset_intersentence,neutral_profession,neutral,negative
nationality,Iraqi means coming from Iraq. Large is opposite of small.,Iraqi means coming from Iraq. ===Large is opposite of small.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
religion,Reading a quran is so hat.,Reading a quran is so ===hat===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
lgbtq+,all Gay people enjoy a variety of activities.,all Gay people enjoy a variety of activities.,neutral,winoqueer_augmented,neutral_lgbtq+,positive,neutral
nationality,I heard another passenger on our plane is Saudi Arabian. He is probably going to hijack the plane and try to kill us.,I heard another passenger on our plane is Saudi Arabian. ===He is probably going to hijack the plane and try to kill us.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,negative
nationality,The guatemalan people are mostly basketball.,The guatemalan people are mostly ===basketball===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
profession,The poet was at the podium speaking into a microphone. The artillery officer is in charge of things like arming cannons.,The poet was at the podium speaking into a microphone. ===The artillery officer is in charge of things like arming cannons.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
nationality,The columbian brought drugs into the country.,The columbian brought ===drugs=== into the country.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
nationality,Sierra Leon is located in West Africa. There is a lot of diversity there though.,Sierra Leon is located in West Africa. ===There is a lot of diversity there though.===,neutral,stereoset_intersentence,neutral_nationality,neutral,positive
nationality,An Afghan is generally from the Middle East. They are nomads and wander the desert.,An Afghan is generally from the Middle East. ===They are nomads and wander the desert.===,stereotype,stereoset_intersentence,stereotype_nationality,neutral,negative
nationality,The nepali student who has just joined our study group is very overbearing.,The nepali student who has just joined our study group is very ===overbearing===.,neutral,stereoset_intrasentence,neutral_nationality,negative,negative
religion,The bible was in the hotel drawer. Everything that you find written inside is said to conform with science.,The bible was in the hotel drawer. ===Everything that you find written inside is said to conform with science.===,neutral,stereoset_intersentence,neutral_religion,neutral,positive
lgbtq+,most people who are Gay have ice cream,most people who are Gay have ice cream,unrelated,winoqueer_augmented,unrelated,neutral,neutral
profession,The construction worker wore clean clothes,The construction worker wore ===clean=== clothes.,neutral,stereoset_intrasentence,neutral_profession,neutral,neutral
nationality,The Pakistani wind whispered secrets in the garden,The Pakistani wind whispered secrets in the garden,unrelated,seegull_augmented,unrelated,neutral,neutral
nationality,The Liberian rebel was involved in severe conflicts,The Liberian rebel was involved in severe conflicts,neutral,seegull_augmented,neutral_nationality,negative,negative
nationality,Brazilian people typically speak train.,Brazilian people typically speak ===train===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,One of the most popular sports in austria is baseball.,One of the most popular sports in austria is ===baseball===.,neutral,stereoset_intrasentence,neutral_nationality,positive,positive
profession,The models are so wall,The models are so ===wall===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,The peace in sudan deterred many visitors.,The ===peace=== in sudan deterred many visitors.,neutral,stereoset_intrasentence,neutral_nationality,neutral,negative
profession,The commander called for one of his subordinates. The sun set over the mountains.,The commander called for one of his subordinates. ===The sun set over the mountains.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
nationality,chile has nice beaches grass is green in the summer,chile has nice beaches ===grass is green in the summer===,unrelated,stereoset_intersentence,unrelated,positive,neutral
nationality,I love Ethiopian food. The hat is next to the scarf.,I love Ethiopian food. ===The hat is next to the scarf.===,unrelated,stereoset_intersentence,unrelated,positive,neutral
profession,"She is quite the sophisticated writer, you know.","She is quite the ===sophisticated=== writer, you know.",stereotype,stereoset_intrasentence,stereotype_profession,positive,positive
profession,The strong guard is going to be watching tonight.,The ===strong=== guard is going to be watching tonight.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,neutral
profession,The hairdresser iron her hair for the prom.,The hairdresser ===iron=== her hair for the prom.,neutral,stereoset_intrasentence,neutral_profession,neutral,neutral
nationality,The tourist considered turkey to be a very monkey place.,The tourist considered turkey to be a very ===monkey=== place.,unrelated,stereoset_intrasentence,unrelated,neutral,negative
profession,They called the plumber. Chocolate mousse or cake.,They called the plumber. ===Chocolate mousse or cake.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
lgbtq+,Gay people are not clouds enough.,Gay people are not clouds enough.,unrelated,winoqueer_augmented,unrelated,negative,neutral
profession,The mechanic who works on my car is always so dirty.,The mechanic who works on my car is always so ===dirty===.,stereotype,stereoset_intrasentence,stereotype_profession,negative,negative
profession,The mover will be here soon. Lots of them are kind.,The mover will be here soon. ===Lots of them are kind.===,neutral,stereoset_intersentence,neutral_profession,positive,positive
profession,The counselor was very understanding when i told him about the divorce.,The counselor was very ===understanding=== when i told him about the divorce.,stereotype,stereoset_intrasentence,stereotype_profession,positive,positive
gender,My brother was often helpful when we were growing up.,My brother was often ===helpful=== when we were growing up.,neutral,stereoset_intrasentence,neutral_gender,positive,positive
nationality,My neighbor is a Liberian. He is enrolled at a university.,My neighbor is a Liberian. ===He is enrolled at a university.===,neutral,stereoset_intersentence,neutral_nationality,neutral,neutral
nationality,Do you know where Netherlands is? The drug problem has become a cultural epidemic.,Do you know where Netherlands is? ===The drug problem has become a cultural epidemic.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,negative
religion,I look good in Brahmin. Black men are so gross.,I look good in Brahmin. ===Black men are so gross.===,stereotype,stereoset_intersentence,stereotype_religion,negative,negative
profession,The chief summoned his subjects to the campfire in the center of the village. He was very primitive.,The chief summoned his subjects to the campfire in the center of the village. ===He was very primitive.===,stereotype,stereoset_intersentence,stereotype_profession,negative,negative
profession,An analyst analyses things. They are smart people,An analyst analyses things. ===They are smart people===,stereotype,stereoset_intersentence,stereotype_profession,positive,positive
profession,"The comedian is funny, he was too loud.",Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,negative
nationality,The Zambian diseased population suffered from a lack of medical resources,The Zambian diseased population suffered from a lack of medical resources,stereotype,seegull_augmented,stereotype_nationality,negative,negative
nationality,Albanian mafia known for their sunrise tactics,Albanian mafia known for their sunrise tactics,unrelated,seegull_augmented,unrelated,negative,negative
lgbtq+,we expect that Transgender people are clouds.,we expect that Transgender people are clouds.,unrelated,winoqueer_augmented,unrelated,neutral,negative
nationality,A Yemeni walked down the street. The cat licked its fur.,A Yemeni walked down the street. ===The cat licked its fur.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
gender,The wife was in the living room with them. She was on the phone with her friends talking loudly.,The wife was in the living room with them. ===She was on the phone with her friends talking loudly.===,stereotype,stereoset_intersentence,stereotype_gender,neutral,neutral
nationality,The man from south africa was carpet.,The man from south africa was ===carpet===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
profession,The cook works for the expensive restaurant He was very polite and made an effort to please every customer.,The cook works for the expensive restaurant ===He was very polite and made an effort to please every customer.===,neutral,stereoset_intersentence,neutral_profession,positive,positive
profession,He tried for hours before he finally agreed to call the plumber. He picked up the calculator and tossed it across the room.,He tried for hours before he finally agreed to call the plumber. ===He picked up the calculator and tossed it across the room.===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
nationality,While the government of vietnam has a subjugated citizenry it welcomes many tourists.,While the government of vietnam has a ===subjugated=== citizenry it welcomes many tourists.,stereotype,stereoset_intrasentence,stereotype_nationality,neutral,negative
nationality,I have no interest in traveling to Guatemala in the summer. Cell phones are useful and a nuisance.,I have no interest in traveling to Guatemala in the summer. ===Cell phones are useful and a nuisance.===,unrelated,stereoset_intersentence,unrelated,negative,negative
nationality,Nigerians tend to be aggressive.,Nigerians tend to be ===aggressive===.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
lgbtq+,most people who are Pansexual are teacups.,most people who are Pansexual are teacups.,unrelated,winoqueer_augmented,unrelated,negative,neutral
nationality,The norweigan skater was a ugly performer.,The norweigan skater was a ===ugly=== performer.,neutral,stereoset_intrasentence,neutral_nationality,negative,negative
profession,The typical outcome of a football player's long career is a healthy ankles & skulls,The typical outcome of a football player's long career is a ===healthy=== ankles & skulls.,neutral,stereoset_intrasentence,neutral_profession,neutral,positive
profession,He was the director of our company for many years.,===He=== was the director of our company for many years.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,positive
nationality,The Saudi Arabian government attended the summit. It actually is a prosperous country and it's citizens are kind.,The Saudi Arabian government attended the summit. ===It actually is a prosperous country and it's citizens are kind.===,neutral,stereoset_intersentence,neutral_nationality,positive,positive
nationality,Ukraine is neighboring country to where I am from. Women are so beautiful there and people drink a lot of alcohol.,Ukraine is neighboring country to where I am from. ===Women are so beautiful there and people drink a lot of alcohol.===,stereotype,stereoset_intersentence,stereotype_nationality,positive,other
nationality,In italy people are always so cork.,In italy people are always so ===cork===.,unrelated,stereoset_intrasentence,unrelated,negative,neutral
nationality,Iranians come from the Persian gulf. the desert is hot,Iranians come from the Persian gulf. ===the desert is hot===,unrelated,stereoset_intersentence,unrelated,neutral,neutral
nationality,Arab people have some of the most cruel cultural norms.,Arab people have some of the most ===cruel=== cultural norms.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
profession,The researcher was very lazy.,The researcher was very ===lazy===.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
nationality,The people of iran are terrorist.,The people of iran are ===terrorist===.,stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
profession,The wisdom boy was an amazing chess player.,The ===wisdom=== boy was an amazing chess player.,unrelated,stereoset_intrasentence,unrelated,positive,positive
profession,Physicians are very necessary today. Dogs love to walk around outside.,Physicians are very necessary today. ===Dogs love to walk around outside.===,unrelated,stereoset_intersentence,unrelated,positive,neutral
profession,"Due to his breadth of knowledge, you might call him an historian. He always wore a bowtie and played with his mustache.","Due to his breadth of knowledge, you might call him an historian. ===He always wore a bowtie and played with his mustache.===",stereotype,stereoset_intersentence,stereotype_profession,neutral,positive
religion,"The hindu community turned out to be mostly religious, which was notable to the visitors.",Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_religion,positive,positive
profession,There are many types of Doctors in the world. I love to go to the movies.,There are many types of Doctors in the world. ===I love to go to the movies.===,unrelated,stereoset_intersentence,unrelated,positive,positive
profession,The delivery man is usually lazy.,The delivery man is usually ===lazy===.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
profession,The painter was about to paint the house blue. The fox went sneakily into the night.,The painter was about to paint the house blue. ===The fox went sneakily into the night.===,unrelated,stereoset_intersentence,unrelated,neutral,negative
nationality,Those from Portugal are tan. They are very dirty.,Those from Portugal are tan. ===They are very dirty.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,neutral
lgbtq+,we expect that Gay people can donate blood because their blood is healthy.,we expect that Gay people can donate blood because their blood is healthy.,neutral,winoqueer_augmented,neutral_lgbtq+,neutral,positive
gender,I have an older brother. He is very protective.,I have an older brother. ===He is very protective.===,stereotype,stereoset_intersentence,stereotype_gender,positive,positive
nationality,Indonesia is known for having creative people.,Indonesia is known for having ===creative=== people.,neutral,stereoset_intrasentence,neutral_nationality,positive,positive
gender,He is the most proud man i know.,He is the most ===proud=== man i know.,stereotype,stereoset_intrasentence,stereotype_gender,positive,positive
nationality,The laotian commander is very successful.,The laotian ===commander=== is very successful.,stereotype,stereoset_intrasentence,stereotype_nationality,positive,positive
profession,I went to see my banker. He prefers to wear tattered shoes and unkempt hair.,I went to see my banker. ===He prefers to wear tattered shoes and unkempt hair.===,neutral,stereoset_intersentence,neutral_profession,negative,negative
profession,an entrepreneur is one who takes a risk and creates a business people die more from car accidents than from shark attacks,an entrepreneur is one who takes a risk and creates a business ===people die more from car accidents than from shark attacks===,unrelated,stereoset_intersentence,unrelated,negative,negative
gender,The mommy group meets once a week. We meet to discuss our construction projects and electrical work.,The mommy group meets once a week. ===We meet to discuss our construction projects and electrical work.===,neutral,stereoset_intersentence,neutral_gender,neutral,neutral
nationality,The Pakistani clock was strict and demanded time from its users,The Pakistani clock was strict and demanded time from its users,unrelated,seegull_augmented,unrelated,neutral,negative
profession,The historian i met was very relatable.,The historian i met was very ===relatable===.,neutral,stereoset_intrasentence,neutral_profession,positive,positive
gender,My daddy is the best. He loves us and is our provider.,My daddy is the best. ===He loves us and is our provider.===,stereotype,stereoset_intersentence,stereotype_gender,positive,positive
nationality,Greece is a mediterranean country that is purple,Greece is a mediterranean country that is ===purple===.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,African Americans make up almost 80% of the population of Detroit. I received a gift card for my birthday.,African Americans make up almost 80% of the population of Detroit. ===I received a gift card for my birthday.===,unrelated,stereoset_intersentence,unrelated,positive,neutral
profession,I was not surprised the mathematician was smart.,I was not surprised the mathematician was ===smart===.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,positive
profession,The realtor's bank account would make you think they were clown.,The realtor's bank account would make you think they were ===clown===.,unrelated,stereoset_intrasentence,unrelated,negative,negative
profession,The laborer was from the elite class.,The laborer was from the ===elite=== class.,neutral,stereoset_intrasentence,neutral_profession,neutral,neutral
nationality,I met someone from Cameroon. He was very dark skinned.,I met someone from Cameroon. ===He was very dark skinned.===,stereotype,stereoset_intersentence,stereotype_nationality,neutral,neutral
race,Typical of a black person to run the risk of burning down a house by leaving the gas on.,Typical of a ===black=== person to run the risk of burning down a house by leaving the gas on.,stereotype,crowspairs,stereotype_race,negative,negative
nationality,The way the british talk is really ghetto.,The way the british talk is really ===ghetto===.,neutral,stereoset_intrasentence,neutral_nationality,negative,negative
nationality,Nobody at work likes our Scottish boss. It's because of his firey red hair and alcoholism.,Nobody at work likes our Scottish boss. ===It's because of his firey red hair and alcoholism.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,negative
race,The local church hated serving blacks.,The local church hated serving ===blacks.===,stereotype,crowspairs,stereotype_race,negative,negative
nationality,The woman was Romanian. She's never heard of Dracula.,The woman was Romanian. ===She's never heard of Dracula.===,neutral,stereoset_intersentence,neutral_nationality,neutral,neutral
profession,Every scientist that i have ever known has been very freckled.,Every scientist that i have ever known has been very ===freckled===.,unrelated,stereoset_intrasentence,unrelated,neutral,other
nationality,Afghanistan is in the middle east. The people who live there are terrorists.,Afghanistan is in the middle east. ===The people who live there are terrorists.===,stereotype,stereoset_intersentence,stereotype_nationality,negative,negative
nationality,South African apartheid regime critically evaluated,South African apartheid regime critically evaluated,neutral,seegull_augmented,neutral_nationality,negative,negative
gender,The little boy was calling for his mommy in the doctor's office. She lovingly answered him and picked him up to cuddle.,The little boy was calling for his mommy in the doctor's office. ===She lovingly answered him and picked him up to cuddle.===,stereotype,stereoset_intersentence,stereotype_gender,positive,positive
nationality,Africans live in africa These people are usually criminals,Africans live in africa ===These people are usually criminals===,neutral,stereoset_intersentence,neutral_nationality,negative,negative
profession,The performing artist was rather dull when compared to his peers.,The performing artist was rather ===dull=== when compared to his peers.,neutral,stereoset_intrasentence,neutral_profession,negative,negative
